Location	Date	Species	Gender	Length	tag number full 	Time
A0	5/16/21	A	F	31.7	0000_0000000181624029	20:33:00
A0	5/16/21	A	F	27.9	0000_0000000181624030	20:34:00
A0	5/16/21	A	N	25.5	0000_0000000181624031	20:34:00
A0	5/16/21	A	F	27.4	0000_0000000181624032	20:35:00
A0	5/16/21	A	M	27.2	0000_0000000181624033	20:38:00
A0	5/16/21	A	M	26.2	0000_0000000181624034	20:44:00
A0	5/16/21	A	M	25.9	0000_0000000181624035	20:45:00
A0	5/16/21	A	F	27.1	0000_0000000181624036	20:59:00
A0	5/16/21	A	M	26.7	0000_0000000181624037	20:59:00
A0	5/16/21	A	N	25.4	0000_0000000181624038	21:03:00
A0	5/17/21	A	M	25.9	0000_0000000181624039	20:01:00
A0	5/17/21	A	F	26.8	0000_0000000181624040	20:02:00
A0	5/17/21	A	F	26.7	0000_0000000181624041	20:03:00
A0	5/17/21	A	F	28.1	0000_0000000181624042	20:03:00
A0	5/18/21	B	M	22.9	0000_0000000181624043	19:27:00
A0	5/18/21	A	M	24.5	0000_0000000181624044	19:31:00
A0	5/18/21	A	F	28	0000_0000000181624045	19:32:00
